"","V1","season","id","name","position","team","conference","countablePlays","averagePPA.all","averagePPA.pass","averagePPA.rush"
"201",191,2016,550226,"Conner Manning","QB","Georgia State","Sun Belt",397,0.268,0.268,0.292
"202",345,2017,550226,"Conner Manning","QB","Georgia State","Sun Belt",370,0.316,0.334,0.141
"203",478,2018,4361902,"Dan Ellington","QB","Georgia State","Sun Belt",426,0.313,0.303,0.333
"204",590,2019,4361902,"Dan Ellington","QB","Georgia State","Sun Belt",455,0.292,0.282,0.318
"205",679,2020,4568411,"Cornelious Brown","QB","Georgia State","Sun Belt",400,0.216,0.236,0.146
"206",29,2015,531104,"Justin Thomas","QB","Georgia Tech","ACC",313,0.165,0.215,0.088
"207",225,2016,531104,"Justin Thomas","QB","Georgia Tech","ACC",281,0.353,0.561,0.087
"208",322,2017,3917810,"TaQuon Marshall","QB","Georgia Tech","ACC",360,0.263,0.134,0.34
"209",433,2018,3917810,"TaQuon Marshall","QB","Georgia Tech","ACC",321,0.203,0.148,0.236
"210",683,2020,4429066,"Jeff Sims","QB","Georgia Tech","ACC",373,0.22,0.132,0.467
"211",2,2015,513330,"Max Wittek","QB","Hawai'i","Mountain West",258,-0.059,-0.094,0.611
"212",195,2016,4038224,"Dru Brown","QB","Hawai'i","Mountain West",402,0.273,0.244,0.419
"213",282,2017,4038224,"Dru Brown","QB","Hawai'i","Mountain West",457,0.156,0.124,0.574
"214",487,2018,4038220,"Cole McDonald","QB","Hawai'i","Mountain West",615,0.333,0.35,0.245
"215",616,2019,4038220,"Cole McDonald","QB","Hawai'i","Mountain West",611,0.345,0.332,0.422
"216",702,2020,4373934,"Chevan Cordeiro","QB","Hawai'i","Mountain West",426,0.299,0.205,0.657
"217",118,2015,545552,"Greg Ward Jr.","QB","Houston","American Athletic",538,0.438,0.376,0.57
"218",210,2016,545552,"Greg Ward Jr.","QB","Houston","American Athletic",658,0.309,0.32,0.275
"219",316,2017,553532,"Kyle Postma","QB","Houston","American Athletic",212,0.251,0.24,0.296
"220",367,2017,4039300,"D'Eriq King","QB","Houston","American Athletic",242,0.384,0.363,0.443
"221",522,2018,4039300,"D'Eriq King","QB","Houston","American Athletic",452,0.561,0.521,0.708
